_id,productName,description,image,price,discount,__v,status,retailPrice
6458601cfa2d257c4c75a639,pulpy orange,minute maid 1lt,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/denvar90%2Fimage?alt=media&token=b6c3d640-c14e-4e33-95ef-ccdd2023db18,90,17,0,InActive,75
645860e7db4cdf9c5700d5fb,ks body spray,ks body spray,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/ks%20body%20spray360%2Fimage?alt=media&token=e7bc77d3-5d32-404a-bbba-676ee7236509,360,50,0,Active,180
645fb4851a9892653fda5110,santoor sandal and turmeric, skin moisturising,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/santoor%20sandal%20and%20turmeric%20skin%20moisturising165%2Fimage?alt=media&token=0afe1764-28ff-4c7b-b547-1acc5ea61eb0,165,,0,Active,115
645fb65f1a9892653fda511e,colgate ,strong teeth 500gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/colgate%20strong%20teeth%20500gm276%2Fimage?alt=media&token=e324f9fa-110f-415b-b6aa-97aa351642bb,276,,0,Active,219
645fb7911a9892653fda5126,horlicks,classic malt 2N X 500gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/horlicksclassic%20malt%202N%20X%20500gm620%2Fimage?alt=media&token=11e701ca-0df1-4397-97a2-f2a5b1f2a914,620,,0,InActive,520
645fb7ee1a9892653fda5129,Boost,Boost 1 kg (2 x 500g),https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/BoostBoost%201%20kg%20(2%20x%20500g)615%2Fimage?alt=media&token=eec7920f-745b-460f-a4a3-9f9c43c4a7ba,615,,0,InActive,520
645fb8731a9892653fda512c,Dabur Meswak,Dabur Meswak Complete Oral Care Toothpaste - 200g,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Dabur%20MeswakDabur%20Meswak%20Complete%20Oral%20Care%20Toothpaste%20-%20200g105%2Fimage?alt=media&token=681604f3-41bc-4b2d-b01d-449450edb134,105,,0,InActive,55
645fb93f1a9892653fda512f,Ponds  ,Ponds Dream flower 200gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Ponds%20%20Ponds%20Dream%20flower%20200gm215%2Fimage?alt=media&token=5a94b9db-cf43-4d97-964e-3e3d24f1c707,215,,0,Active,179
645fb9f11a9892653fda5132,Colgate Vedashakti,Colgate Vedashakti 500gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Colgate%20VedashaktiColgate%20Vedashakti%20500gm282%2Fimage?alt=media&token=47a2c3a9-1cdd-425d-a6d2-f457d4dbfe26,282,,0,Active,199
645fbbed1a9892653fda5138,Colgate ,Colgate Active salt 500gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Colgate%20colgate282%2Fimage?alt=media&token=8bec99d7-a83d-4cb5-b552-b3577aa270eb,282,,0,Active,259
645fbd5f1a9892653fda5141,Colgate Maxfresh,Colgate Maxfresh with Cooling Crystals Anticavity,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Colgate%20MaxfreshColgate%20Maxfresh%20with%20Cooling%20Crystals%20Anticavity220%2Fimage?alt=media&token=45541d19-2a86-4dd5-a103-f5f927134a78,220,,0,Active,180
645fbe281a9892653fda5145,Close up,Close Up Red Toothpaste - 300 gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Close%20upClose%20Up%20Red%20Toothpaste%20-%20300%20gm200%2Fimage?alt=media&token=375b8a5f-06bc-499d-a778-ce6db829ceec,200,,0,Active,175
645fbe7e1a9892653fda5148,Closeup ,Closeup Deep action 150gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Closeup%20Closeup%20Deep%20action%20150gm110%2Fimage?alt=media&token=1a22fcc4-8b47-4002-b2d0-dcecd49b688f,110,,0,Active,95
